Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
14-02-2018,163.045,167.54,162.88,167.37,39669178,0,1,163.045,167.54,162.88,167.37,39669178
13-02-2018,161.95,164.75,161.65,164.34,32104756,0,1,161.95,164.75,161.65,164.34,32104756
12-02-2018,158.5,163.89,157.51,162.71,60560145,0,1,158.5,163.89,157.51,162.71,60560145
09-02-2018,157.07,157.89,150.24,155.97,66723743,0,1,157.07,157.89,150.24,155.97,66723743
08-02-2018,160.29,161,155.03,155.32,49594129,0,1,160.29,161,155.03,155.32,49594129
07-02-2018,163.085,163.4,159.0685,159.54,50852130,0,1,163.085,163.4,159.0685,159.54,50852130
06-02-2018,154.83,163.72,154,163.03,66625484,0,1,154.83,163.72,154,163.03,66625484
05-02-2018,159.1,163.88,156,157.49,66090446,0,1,159.1,163.88,156,157.49,66090446
02-02-2018,166,166.8,160.1,160.37,85436075,0,1,166,166.8,160.1,160.37,85436075
01-02-2018,167.165,168.62,166.76,167.78,38099665,0,1,167.165,168.62,166.76,167.78,38099665
31-01-2018,166.87,168.4417,166.5,167.43,30984099,0,1,166.87,168.4417,166.5,167.43,30984099
30-01-2018,165.525,167.37,164.7,166.97,45137026,0,1,165.525,167.37,164.7,166.97,45137026
29-01-2018,170.16,170.16,167.07,167.96,48434424,0,1,170.16,170.16,167.07,167.96,48434424
26-01-2018,172,172,170.06,171.51,37121805,0,1,172,172,170.06,171.51,37121805
25-01-2018,174.505,174.95,170.53,171.11,39661804,0,1,174.505,174.95,170.53,171.11,39661804
24-01-2018,177.25,177.3,173.2,174.22,50562257,0,1,177.25,177.3,173.2,174.22,50562257
23-01-2018,177.3,179.44,176.82,177.04,31702531,0,1,177.3,179.44,176.82,177.04,31702531
22-01-2018,177.3,177.78,176.6016,177,26023683,0,1,177.3,177.78,176.6016,177,26023683
19-01-2018,178.61,179.58,177.41,178.46,30827809,0,1,178.61,179.58,177.41,178.46,30827809
18-01-2018,179.37,180.1,178.25,179.26,30234512,0,1,179.37,180.1,178.25,179.26,30234512
17-01-2018,176.15,179.25,175.07,179.1,32752734,0,1,176.15,179.25,175.07,179.1,32752734
16-01-2018,177.9,179.39,176.14,176.19,29159005,0,1,177.9,179.39,176.14,176.19,29159005
12-01-2018,176.18,177.36,175.65,177.09,25039531,0,1,176.18,177.36,175.65,177.09,25039531
